country	year	population	kidney	liver	lung	heart	sum
Argentina	2019	45.1	1744	504	36	124	2408
Australia	2019	25.1	1133	310	183	113	1739
Austria	2019	8.8	399	151	100	67	717
Belgium	2019	11.6	444	289	113	84	930
Brazil	2019	212.4	6428	2265	106	383	9182
Canada	2019	37.3	1848	609	403	215	3075
Chile	2019	18.3	421	164	21	45	651
Croatia	2019	4.1	140	123	0	38	301
Finland	2019	5.6	331	64	27	30	452
France	2019	65.5	3716	1356	393	434	5899
Germany	2019	82.4	2219	831	361	344	3755
Greece	2019	11.1	178	33	0	15	226
Hungary	2019	9.7	271	79	18	72	440
Ireland	2019	4.8	155	66	38	15	274
Italy	2019	59.2	2172	1301	153	245	3871
Japan	2019	126.9	1959	395	92	84	2530
Kuwait	2019	4.2	103	6	0	1	110
Malaysia	2019	32.5	130	8	0	0	138
Mexico	2019	132.3	2976	223	7	33	3239
Myanmar	2014	53.7	2	1	0	0	3
Netherlands	2019	17.1	970	190	105	38	1303
Norway	2019	5.4	263	94	33	43	433
Paraguay	2019	7	40	2	0	5	47
Philippines	2017	104.9	525	1	0	0	526
Portugal	2019	10.3	536	240	39	29	844
Singapore	2018	5.8	81	40	2	6	129
Slovenia	2019	2.1	39	24	10	22	95
South Africa	2018	57.4	238	88	23	42	391
Spain	2019	46.4	3491	1227	419	300	5437
Sweden	2019	10.1	495	183	56	61	795
Switzerland	2019	8.6	354	168	39	39	600
Turkey	2019	83	3863	1776	33	84	5756
United Kingdom	2019	67	3806	971	167	188	5132
US	2019	329.1	25145	8896	2759	3597	40397
