date	type	count	country
2020-01-22	covid_cases	0	Argentina
2020-01-23	covid_cases	0	Argentina
2020-01-24	covid_cases	0	Argentina
2020-01-25	covid_cases	0	Argentina
2020-01-26	covid_cases	0	Argentina
2020-01-27	covid_cases	0	Argentina
2020-01-28	covid_cases	0	Argentina
2020-01-29	covid_cases	0	Argentina
2020-01-30	covid_cases	0	Argentina
2020-01-31	covid_cases	0	Argentina
2020-02-01	covid_cases	0	Argentina
2020-02-02	covid_cases	0	Argentina
2020-02-03	covid_cases	0	Argentina
2020-02-04	covid_cases	0	Argentina
2020-02-05	covid_cases	0	Argentina
2020-02-06	covid_cases	0	Argentina
2020-02-07	covid_cases	0	Argentina
2020-02-08	covid_cases	0	Argentina
2020-02-09	covid_cases	0	Argentina
2020-02-10	covid_cases	0	Argentina
2020-02-11	covid_cases	0	Argentina
2020-02-12	covid_cases	0	Argentina
2020-02-13	covid_cases	0	Argentina
2020-02-14	covid_cases	0	Argentina
2020-02-15	covid_cases	0	Argentina
2020-02-16	covid_cases	0	Argentina
2020-02-17	covid_cases	0	Argentina
2020-02-18	covid_cases	0	Argentina
2020-02-19	covid_cases	0	Argentina
2020-02-20	covid_cases	0	Argentina
2020-02-21	covid_cases	0	Argentina
2020-02-22	covid_cases	0	Argentina
2020-02-23	covid_cases	0	Argentina
2020-02-24	covid_cases	0	Argentina
2020-02-25	covid_cases	0	Argentina
2020-02-26	covid_cases	0	Argentina
2020-02-27	covid_cases	0	Argentina
2020-02-28	covid_cases	0	Argentina
2020-02-29	covid_cases	0	Argentina
2020-03-01	covid_cases	0	Argentina
2020-03-02	covid_cases	0	Argentina
2020-03-03	covid_cases	1	Argentina
2020-03-04	covid_cases	1	Argentina
2020-03-05	covid_cases	1	Argentina
2020-03-06	covid_cases	2	Argentina
2020-03-07	covid_cases	8	Argentina
2020-03-08	covid_cases	12	Argentina
2020-03-09	covid_cases	12	Argentina
2020-03-10	covid_cases	17	Argentina
2020-03-11	covid_cases	19	Argentina
2020-03-12	covid_cases	19	Argentina
2020-03-13	covid_cases	31	Argentina
2020-03-14	covid_cases	34	Argentina
2020-03-15	covid_cases	45	Argentina
2020-03-16	covid_cases	56	Argentina
2020-03-17	covid_cases	68	Argentina
2020-03-18	covid_cases	79	Argentina
2020-03-19	covid_cases	97	Argentina
2020-03-20	covid_cases	128	Argentina
2020-03-21	covid_cases	158	Argentina
2020-03-22	covid_cases	266	Argentina
2020-03-23	covid_cases	301	Argentina
2020-03-24	covid_cases	387	Argentina
2020-03-25	covid_cases	387	Argentina
2020-03-26	covid_cases	502	Argentina
2020-03-27	covid_cases	589	Argentina
2020-03-28	covid_cases	690	Argentina
2020-03-29	covid_cases	745	Argentina
2020-03-30	covid_cases	820	Argentina
2020-03-31	covid_cases	1054	Argentina
2020-04-01	covid_cases	1054	Argentina
2020-04-02	covid_cases	1133	Argentina
2020-04-03	covid_cases	1265	Argentina
2020-04-04	covid_cases	1451	Argentina
2020-04-05	covid_cases	1451	Argentina
2020-04-06	covid_cases	1554	Argentina
2020-04-07	covid_cases	1628	Argentina
2020-04-08	covid_cases	1715	Argentina
2020-04-09	covid_cases	1795	Argentina
2020-04-10	covid_cases	1975	Argentina
2020-04-11	covid_cases	1975	Argentina
2020-04-12	covid_cases	2142	Argentina
2020-04-13	covid_cases	2208	Argentina
2020-04-14	covid_cases	2277	Argentina
2020-04-15	covid_cases	2443	Argentina
2020-04-16	covid_cases	2571	Argentina
2020-04-17	covid_cases	2669	Argentina
2020-04-18	covid_cases	2758	Argentina
2020-04-19	covid_cases	2839	Argentina
2020-04-20	covid_cases	2941	Argentina
2020-04-21	covid_cases	3031	Argentina
2020-04-22	covid_cases	3144	Argentina
2020-04-23	covid_cases	3435	Argentina
2020-04-24	covid_cases	3607	Argentina
2020-04-25	covid_cases	3780	Argentina
2020-04-26	covid_cases	3892	Argentina
2020-04-27	covid_cases	4003	Argentina
2020-04-28	covid_cases	4127	Argentina
2020-04-29	covid_cases	4285	Argentina
2020-04-30	covid_cases	4428	Argentina
2020-05-01	covid_cases	4532	Argentina
2020-05-02	covid_cases	4681	Argentina
2020-05-03	covid_cases	4783	Argentina
2020-05-04	covid_cases	4887	Argentina
2020-05-05	covid_cases	5020	Argentina
2020-05-06	covid_cases	5208	Argentina
2020-05-07	covid_cases	5371	Argentina
2020-05-08	covid_cases	5611	Argentina
2020-05-09	covid_cases	5776	Argentina
2020-05-10	covid_cases	6034	Argentina
2020-05-11	covid_cases	6278	Argentina
2020-05-12	covid_cases	6563	Argentina
2020-05-13	covid_cases	6879	Argentina
2020-05-14	covid_cases	7134	Argentina
2020-05-15	covid_cases	7479	Argentina
2020-05-16	covid_cases	7805	Argentina
