name	covid_rate	tx2019	tx2020	covid_norm	tx2019_norm	tx2020_norm
Alabama	9889	97	82	0.0283867039186188	0.109604519774011	0.0926553672316384
Alaska	379	-1	-1	0	-1	-1
Arizona	11119	215	213	0.0320581703560427	0.242937853107345	0.240677966101695
Arkansas	4012	68	26	0.0108442581846837	0.0768361581920904	0.0293785310734463
California	67600	885	729	0.20065011820331	1	0.823728813559322
Colorado	19703	135	68	0.0576808271843733	0.152542372881356	0.0768361581920904
Connecticut	33554	78	45	0.0990251211882417	0.088135593220339	0.0508474576271186
Delaware	6277	8	4	0.017605129307257	0.00903954802259887	0.00451977401129944
District of Columbia	6272	92	117	0.0175902046469422	0.103954802259887	0.132203389830508
Florida	40596	516	458	0.120045012775509	0.583050847457627	0.517514124293785
Georgia	33580	192	106	0.0991027294218784	0.216949152542373	0.119774011299435
Hawaii	632	8	10	0.000755187811925401	0.00903954802259887	0.0112994350282486
Idaho	2230	0	0	0.0055251092485135	0	0
Illinois	77741	297	208	0.230920314253648	0.335593220338983	0.235028248587571
Indiana	24126	99	76	0.0708831816987845	0.111864406779661	0.0858757062146893
Iowa	11959	59	33	0.0345655132889175	0.0666666666666667	0.0372881355932203
Kansas	6951	49	51	0.0196169735176827	0.0553672316384181	0.0576271186440678
Kentucky	6440	68	54	0.0180916732335172	0.0768361581920904	0.0610169491525424
Louisiana	31600	149	84	0.0931925639372448	0.168361581920904	0.0949152542372881
Maine	1436	10	4	0.00315507319053418	0.0112994350282486	0.00451977401129944
Maryland	32587	152	96	0.0961386918833727	0.171751412429379	0.108474576271186
Massachusetts	77793	191	117	0.231075530720921	0.215819209039548	0.132203389830508
Michigan	47182	192	82	0.139703775342073	0.216949152542373	0.0926553672316384
Minnesota	11271	185	107	0.0325118800296105	0.209039548022599	0.12090395480226
Mississippi	9501	43	25	0.0272285502781957	0.0485875706214689	0.0282485875706215
Missouri	10068	199	134	0.0289210067578862	0.224858757062147	0.151412429378531
Montana	458	0	0	0.000235809632972754	0	0
Nebraska	8171	39	64	0.0232585906344772	0.0440677966101695	0.072316384180791
Nevada	6120	15	2	0.0171364949733744	0.0169491525423729	0.00225988700564972
New Hampshire	3071	3	1	0.0080354371134513	0.00338983050847458	0.00112994350282486
New Jersey	138754	110	36	0.413039974210187	0.124293785310734	0.0406779661016949
New Mexico	4863	30	9	0.013384435370251	0.0338983050847458	0.0101694915254237
New York	335395	466	276	1	0.526553672316384	0.311864406779661
North Carolina	14938	243	211	0.0434576259044344	0.274576271186441	0.238418079096045
North Dakota	1491	9	4	0.00331924445399623	0.0101694915254237	0.00451977401129944
Ohio	24081	330	366	0.070748859755952	0.372881355932203	0.413559322033898
Oklahoma	4589	65	31	0.0125665639850037	0.0734463276836158	0.0350282485875706
Oregon	3228	66	50	0.00850407144733386	0.0745762711864407	0.0564971751412429
Pennsylvania	59939	457	349	0.177782553669078	0.51638418079096	0.394350282485876
Puerto Rico	2198	14	3	0.00542959142249922	0.015819209039548	0.00338983050847458
Rhode Island	11274	7	13	0.0325208348257994	0.00790960451977401	0.0146892655367232
South Carolina	7653	89	92	0.021712395825871	0.100564971751412	0.103954802259887
South Dakota	3517	12	4	0.00936671681352532	0.0135593220338983	0.00451977401129944
Tennessee	14985	185	172	0.0435979177113929	0.209039548022599	0.194350282485876
Texas	39258	728	596	0.116051173675287	0.822598870056497	0.673446327683616
Utah	6251	89	80	0.0175275210736204	0.100564971751412	0.0903954802259887
Vermont	927	3	0	0.00163574277049454	0.00338983050847458	0
Virginia	24081	237	161	0.070748859755952	0.267796610169492	0.181920903954802
Washington	16891	123	99	0.0492871982233684	0.138983050847458	0.111864406779661
West Virginia	1360	15	21	0.00292821835375027	0.0169491525423729	0.023728813559322
Wisconsin	10219	142	108	0.0293717314993911	0.16045197740113	0.122033898305085
Wyoming	662	0	0	0.000844735773813788	0	0
