name	covid_rate	tx2019	tx2020	covid_norm	tx2019_norm	tx2020_norm
Buenos Aires	4937	150	102	1	1	0.677852348993289
Chaco	479	3	-1	0.0964734495338468	0.0134228187919463	-1
Chubut	4	-1	-1	0.000202675314146737	-1	-1
Córdoba	354	46	28	0.0711390352655047	0.302013422818792	0.181208053691275
Corrientes	78	4	2	0.0152006485610053	0.0201342281879195	0.00671140939597315
Entre Ríos	28	3	-1	0.00506688285366842	0.0134228187919463	-1
Formosa	-1	1	-1	-1	0	-1
Jujuy	5	-1	-1	0.000405350628293474	-1	-1
La Pampa	5	-1	-1	0.000405350628293474	-1	-1
La Rioja	60	-1	-1	0.011552492906364	-1	-1
Mendoza	87	15	4	0.0170247263883259	0.0939597315436242	0.0201342281879195
Misiones	25	2	6	0.00445885691122821	0.00671140939597315	0.0335570469798658
Neuquén	115	2	2	0.0226996351844345	0.00671140939597315	0.00671140939597315
Río Negro	290	-1	-1	0.0581678151601135	-1	-1
Salta	5	6	3	0.000405350628293474	0.0335570469798658	0.0134228187919463
San Juan	3	-1	1	0	-1	0
San Luis	10	-1	-1	0.00141872719902716	-1	-1
Santa Cruz	49	-1	-1	0.0093230644507499	-1	-1
Santa Fe	244	23	17	0.0488447507093636	0.147651006711409	0.10738255033557
Santiago del Estero	16	-1	-1	0.00263477908390758	-1	-1
Tierra del Fuego	135	-1	-1	0.0267531414673693	-1	-1
Tucumán	42	14	3	0.00790433725172274	0.087248322147651	0.0134228187919463
