name	covid_rate	tx2019	tx2020	covid_norm	tx2019_norm	tx2020_norm
Acre	7951	0	0	0.0102473725274221	0	0
Alagoas	14250	3	0	0.0218110055532608	0.00712589073634204	0
Amapá	18807	0	0	0.0301766946624444	0	0
Amazonas	92810	0	0	0.166030565881867	0	0
Bahia	53972	38	35	0.0947322043232824	0.0902612826603325	0.0831353919239905
Ceará	140108	115	22	0.252859699848547	0.273159144893112	0.0522565320665083
Distrito Federal	33314	39	29	0.0568084813437973	0.0926365795724466	0.0688836104513064
Espírito Santo	41611	20	7	0.0720400201936757	0.0475059382422803	0.0166270783847981
Goiás	14723	28	32	0.0226793336087016	0.0665083135391924	0.0760095011876485
Maranhão	51047	4	0	0.0893625223736748	0.00950118764845606	0
Mato Grosso	6440	0	1	0.00747349580063335	0	0.00237529691211401
Mato Grosso do Sul	5914	2	8	0.00650787094405434	0.00475059382422803	0.0190023752969121
Minas Gerais	42509	121	122	0.0736885584469228	0.287410926365796	0.28978622327791
Pará	43013	14	2	0.0746137959520859	0.0332541567695962	0.00475059382422803
Paraíba	12737	3	2	0.0190334572490706	0.00712589073634204	0.00475059382422803
Paraná	33405	123	114	0.0569755381155629	0.292161520190024	0.270783847980998
Pernambuco	109956	111	20	0.197506998944422	0.263657957244656	0.0475059382422803
Piauí	8156	4	2	0.0106237092110698	0.00950118764845606	0.00475059382422803
Rio de Janeiro	186677	97	97	0.338350543852403	0.230403800475059	0.230403800475059
Rio Grande do Norte	21990	8	2	0.0360200100968379	0.0190023752969121	0.00475059382422803
Rio Grande do Sul	33917	115	109	0.0579154619303318	0.273159144893112	0.258907363420428
Rondônia	7979	3	0	0.0102987746110423	0.00712589073634204	0
Roraima	9296	0	0	0.0127165083298912	0	0
Santa Catarina	40167	82	65	0.0693891413098352	0.194774346793349	0.154394299287411
São Paulo	547094	421	412	1	1	0.978622327790974
Sergipe	6625	0	0	0.00781311671026665	0	0
Tocantins	2369	0	0	0	0	0
