name	covid_rate	tx2019	tx2020	covid_norm	tx2019_norm	tx2020_norm
Aisén del General Carlos Ibáñez del Campo	8	-1	-1	0	-1	-1
Antofagasta	895	-1	-1	0.0527348394768133	-1	-1
Araucanía	1385	3	1	0.0818668252080856	0.0142857142857143	0
Arica y Parinacota	325	-1	-1	0.01884661117717	-1	-1
Atacama	87	-1	-1	0.00469678953626635	-1	-1
Bío-Bío	814	12	7	0.0479191438763377	0.0785714285714286	0.0428571428571429
Coquimbo	100	-1	-1	0.00546967895362663	-1	-1
Libertador General Bernardo O'Higgins	151	-1	-1	0.00850178359096314	-1	-1
Los Lagos	545	-1	-1	0.0319262782401903	-1	-1
Los Ríos	202	2	-1	0.0115338882282996	0.00714285714285714	-1
Magallanes y Antártica Chilena	836	-1	-1	0.0492271105826397	-1	-1
Maule	414	1	1	0.0241379310344828	0	0
Región Metropolitana de Santiago	16828	141	110	1	1	0.778571428571429
Tarapacá	417	-1	-1	0.0243162901307967	-1	-1
Valparaíso	781	12	2	0.0459571938168847	0.0785714285714286	0.00714285714285714
