name	covid_rate	tx2019	tx2020	covid_norm	tx2019_norm	tx2020_norm
Bjelovarska-Bilogorska	12	0	0	0.012987012987013	0	0
Brodsko-Posavska	32	0	0	0.0500927643784787	0	0
Dubrovacko-Neretvanska	114	0	0	0.202226345083488	0	0
Grad Zagreb	472	37	11	0.866419294990724	1	0.297297297297297
Istarska	91	0	0	0.159554730983302	0	0
Karlovacka	30	0	0	0.0463821892393321	0	0
Koprivničko-Križevačka	87	0	0	0.152133580705009	0	0
Krapinsko-Zagorska	134	0	0	0.239332096474954	0	0
Licko-Senjska	20	0	0	0.0278293135435993	0	0
Medimurska	8	0	0	0.00556586270871985	0	0
Osjecko-Baranjska	132	1	0	0.235621521335807	0.027027027027027	0
Požeško-Slavonska	5	0	0	0	0	0
Primorsko-Goranska	83	2	0	0.144712430426716	0.0540540540540541	0
Šibensko-Kninska	88	0	0	0.153988868274583	0	0
Sisacko-Moslavacka	36	0	0	0.0575139146567718	0	0
Splitsko-Dalmatinska	544	0	0	1	0	0
Varaždinska	51	0	0	0.0853432282003711	0	0
Viroviticko-Podravska	11	0	0	0.0111317254174397	0	0
Vukovarsko-Srijemska	40	0	0	0.0649350649350649	0	0
Zadarska	87	0	0	0.152133580705009	0	0
Zagrebačka	130	0	0	0.23191094619666	0	0
