name	covid_rate	tx2019	tx2020
Nord	924	5	1
Ardennes	578	7	3
Aisne	436	3	3
Meuse	100	7	4
Meurthe-et-Moselle	761	4	2
Moselle	945	8	3
Alpes-Maritimes	157	1	4
Alpes-de-Haute-Provence	868	4	3
Hautes-Alpes	399	6	3
Savoie	300	5	4
Haute-Savoie	156	7	0
Pyrénées-Atlantiques	548	9	4
Haute-Garonne	422	9	3
Hautes-Pyrénées	173	5	4
Ariège	205	0	4
Pyrénées-Orientales	726	7	0
Bas-Rhin	748	4	2
Haute-Rhin	781	3	0
Territoire de Belfort	884	9	3
Doubs	160	4	4
Ain	990	4	2
Jura	692	1	1
Var	246	5	2
Bouches-du-Rhône	276	5	2
Gard	639	8	0
Hérault	32	0	2
Aude	371	1	2
Landes	380	5	0
Gironde	609	3	3
Charente-Maritime	419	1	4
Vendée	211	1	3
Loire-Atlantique	722	0	4
Morbihan	870	4	1
Finistère	635	4	4
Côtes-d'Armor	10	6	0
Ille-et-Vilaine	211	2	2
Manche	40	6	4
Calvados	743	9	2
Eure	265	0	2
Seine-Maritime	786	1	0
Somme	129	5	0
Pas-de-Calais	736	9	3
Gers	339	4	1
Haute-Vienne	449	0	4
Corrèze	96	8	1
Tarn-et-Garonne	817	2	1
Tarn	370	6	2
Isère	702	9	3
Drôme	968	5	4
Aveyron	692	8	0
Lot	884	7	4
Indre-et-Loire	857	1	2
Indre	939	7	1
Loir-et-Cher	333	8	2
Creuse	903	4	2
Mayenne	332	1	4
Sarthe	370	0	4
Vaucluse	747	1	3
Haute-Marne	849	1	3
Marne	918	7	2
Dordogne	303	5	3
Rhône	377	4	1
Vosges	894	7	2
Ardèche	727	5	0
Loire	151	1	0
Puy-de-Dôme	337	8	0
Allier	635	1	4
Loiret	494	6	0
Maine-et-Loire	903	5	4
Aube	852	6	4
Paris	354	6	2
Hauts-de-Seine	185	0	2
Seine-Saint-Denis	226	6	0
Val-d'Oise	213	6	1
Yvelines	704	5	4
Charente	704	6	0
Cher	936	5	4
Eure-et-Loir	179	4	3
Haute-Loire	222	2	3
Cantal	832	2	1
Lot-et-Garonne	373	1	0
Lozère	280	1	1
Nièvre	330	2	3
Côte-d'Or	944	3	2
Oise	860	1	4
Orne	518	9	2
Haute-Saône	59	8	0
Saône-et-Loire	611	7	3
Deux-Sèvres	860	7	3
Vienne	585	7	2
Yonne	309	0	3
Essonne	312	3	1
Seien-et-Marne	894	2	3
Val-de-Marne	398	4	1
