name	covid_rate	tx2019	tx2020	covid_norm	tx2019_norm	tx2020_norm
Auvergne-Rhône-Alpes	698842	120	35	0.261468218906175	0.936507936507937	0.261904761904762
Bourgogne-Franche-Comté	344004	23	9	0.12822460634822	0.166666666666667	0.0555555555555556
Bretagne	113449	45	16	0.0416499410268648	0.341269841269841	0.111111111111111
Centre-Val de Loire	184285	25	10	0.0682492470176416	0.182539682539683	0.0634920634920635
Corse	26615	3	2	0.00904329841007226	0.00793650793650794	0
Grand Est	1199755	62	13	0.449563794062282	0.476190476190476	0.0873015873015873
Guadeloupe	9736	4	-1	0.00270514145854589	0.0158730158730159	-1
Guyane	2532	-1	-1	0	-1	-1
Hauts-de-France	578203	113	27	0.216167613628896	0.880952380952381	0.198412698412698
Île-de-France	2665609	91	39	1	0.706349206349206	0.293650793650794
Mayotte	7433	-1	-1	0.00184035234429947	-1	-1
Normandie	156096	32	7	0.0576641231177319	0.238095238095238	0.0396825396825397
Nouvelle-Aquitaine	193635	128	27	0.0717602232304961	1	0.198412698412698
Occitanie	259472	52	10	0.0964823773401971	0.396825396825397	0.0634920634920635
Pays de la Loire	172913	68	11	0.063978998729665	0.523809523809524	0.0714285714285714
Provence-Alpes-Côte d'Azur	458001	70	20	0.171031104245202	0.53968253968254	0.142857142857143
