name	covid_rate	tx2019	tx2020	covid_norm	tx2019_norm	tx2020_norm
Baden-Württemberg	34348	43	48	0.757736257296761	0.719298245614035	0.807017543859649
Bayern	45097	34	40	1	0.56140350877193	0.666666666666667
Berlin	6267	20	18	0.124839414906804	0.315789473684211	0.280701754385965
Brandenburg	3150	5	6	0.0545876625571908	0.0526315789473684	0.0701754385964912
Bremen	1056	5	2	0.00739254885167572	0.0526315789473684	0
Hamburg	4951	12	17	0.0951790664653249	0.175438596491228	0.263157894736842
Hessen	9027	17	11	0.187045008902612	0.263157894736842	0.157894736842105
Mecklenburg-Vorpommern	728	9	12	0	0.12280701754386	0.175438596491228
Niedersachsen	11075	25	26	0.233203362708197	0.403508771929825	0.421052631578947
Nordrhein-Westfalen	35153	58	59	0.775879555545539	0.982456140350877	1
Rheinland-Pfalz	6350	14	22	0.126710090378417	0.210526315789474	0.350877192982456
Saarland	2632	4	5	0.0429128445536298	0.0350877192982456	0.0526315789473684
Sachsen	4956	23	25	0.0952917577587956	0.368421052631579	0.403508771929825
Sachsen-Anhalt	1649	10	15	0.0207577362572968	0.140350877192982	0.228070175438596
Schleswig-Holstein	2971	8	9	0.050553314250941	0.105263157894737	0.12280701754386
Thüringen	2599	6	9	0.0421690820167234	0.0701754385964912	0.12280701754386
