name	covid_rate	tx2019	tx2020	covid_norm	tx2019_norm	tx2020_norm
Abruzzo	3205	13	5	0.0329343421330023	0.0374531835205993	0.00749063670411985
Apulia	4407	33	32	0.047012250825701	0.112359550561798	0.108614232209738
Basilicata	393	-1	-1	0	-1	-1
Calabria	1156	16	9	0.00893630976083952	0.048689138576779	0.0224719101123595
Campania	4714	32	39	0.0506078564568644	0.108614232209738	0.134831460674157
Emilia-Romagna	27364	134	103	0.315886252371694	0.49063670411985	0.374531835205993
Friuli-Venezia Giulia	3209	31	59	0.0329811904148415	0.104868913857678	0.209737827715356
Lazio	7533	126	95	0.0836241830830854	0.460674157303371	0.344569288389513
Liguria	9289	29	24	0.104190578810522	0.0973782771535581	0.0786516853932584
Lombardia	85775	270	198	1	1	0.730337078651685
Marche	6677	30	16	0.073598650769483	0.101123595505618	0.048689138576779
Molise	422	-1	-1	0.000339650043334661	-1	-1
Piemonte	29885	132	175	0.34541238200089	0.48314606741573	0.644194756554307
Sardegna	1355	17	28	0.0112670117823429	0.052434456928839	0.0936329588014981
Sicily	3411	76	84	0.0353470286477243	0.273408239700375	0.303370786516854
Toscana	9982	141	103	0.112307043639175	0.51685393258427	0.374531835205993
Trentino-Alto Adige	4368	-1	-1	0.0465554800777681	-1	-1
Umbria	1427	3	5	0.0121102808554496	0	0.00749063670411985
Valle d'Aosta	1175	-1	-1	0.00915883909957602	-1	-1
Veneto	19030	181	184	0.218277857159589	0.666666666666667	0.677902621722846
