name	covid_rate	tx2019	tx2020	covid_norm	tx2019_norm	tx2020_norm
Andalucía	12268	175	51	0.189183243769838	0.849514563106796	0.247572815533981
Aragón	5258	18	7	0.0790358568241099	0.087378640776699	0.0339805825242718
Cantabria	2220	20	22	0.0313000848496276	0.0970873786407767	0.106796116504854
Castilla y León	17625	39	12	0.273357216932215	0.189320388349515	0.058252427184466
Castilla-La Mancha	16184	15	4	0.250714936677037	0.0728155339805825	0.0194174757281553
Cataluña	51190	206	42	0.80076050406964	1	0.203883495145631
Ceuta y Melilla	228	0	0	0	0	0
Comunidad de Madrid	63870	140	45	1	0.679611650485437	0.218446601941748
Comunidad Foral de Navarra	4983	12	9	0.0747148109738852	0.058252427184466	0.0436893203883495
Comunidad Valenciana	10592	111	37	0.162848433424468	0.538834951456311	0.179611650485437
Extremadura	2877	20	3	0.0416234562081644	0.0970873786407767	0.0145631067961165
Galicia	9134	66	34	0.139939033971277	0.320388349514563	0.16504854368932
Islas Baleares	1929	21	12	0.0267276326953898	0.101941747572816	0.058252427184466
Islas Canarias	2235	29	23	0.0315357782596399	0.140776699029126	0.111650485436893
La Rioja	3986	6	0	0.0590490556550705	0.029126213592233	0
País Vasco	13041	50	8	0.201329310832469	0.242718446601942	0.0388349514563107
Principado de Asturias	2326	15	26	0.0329656516137142	0.0728155339805825	0.12621359223301
Región de Murcia	1501	24	12	0.0200025140630401	0.116504854368932	0.058252427184466
