country	year	kidney	lung	liver	heart	total_tr
Argentina	2019	700	17	200	55	972
Argentina	2020	305	13	103	41	462
Austria	2019	294	79	118	54	545
Austria	2020	247	79	122	46	494
Belgium	2019	339	94	239	66	738
Belgium	2020	268	76	189	44	577
Brazil	2019	5371	87	1875	309	7642
Brazil	2020	3743	42	1620	232	5637
Canada	2019	1421	276	464	167	2328
Canada	2020	1204	282	467	161	2114
Chile	2019	51	6	23	11	91
Chile	2020	27	1	11	2	41
Croatia	2019	94	0	97	26	217
Croatia	2020	67	0	73	14	154
Finland	2019	253	25	55	26	359
Finland	2020	218	18	61	16	313
France	2019	2950	317	1120	346	4733
France	2020	1948	213	907	303	3371
Germany	2019	1775	311	697	285	3068
Germany	2020	1535	280	650	282	2747
Greece	2019	67	0	15	7	89
Greece	2020	65	1	12	3	81
Hungary	2019	221	15	69	60	365
Hungary	2020	142	14	41	35	232
Ireland	2019	119	0	0	0	119
Ireland	2020	75	0	0	0	75
Italy	2019	1022	205	605	125	1957
Italy	2020	853	166	567	112	1698
Kuwait	2019	87	0	4	1	92
Kuwait	2020	30	0	1	0	31
Malaysia	2019	95	0	5	0	100
Malaysia	2020	98	0	20	0	118
Midwest	2019	4378	568	1624	680	7250
Midwest	2020	4218	526	1642	713	7099
Netherlands	2019	786	89	159	29	1063
Netherlands	2020	614	70	151	33	868
Northeast	2019	3807	478	1272	570	6127
Northeast	2020	3203	387	1286	519	5395
Norway	2019	201	27	74	34	336
Norway	2020	200	23	74	21	318
Paraguay	2019	35	0	2	5	42
Paraguay	2020	4	0	0	4	8
Portugal	2019	350	68	230	20	668
Portugal	2020	262	54	142	15	473
Puerto Rico	2019	68	0	36	3	107
Puerto Rico	2020	45	0	23	0	68
Slovenia	2019	34	9	19	19	81
Slovenia	2020	42	15	19	17	93
South	2019	7727	797	2898	1108	12530
South	2020	7606	715	2804	1181	12306
Spain	2019	2753	332	938	245	4268
Spain	2020	1992	243	753	219	3207
Switzerland	2019	258	30	128	29	445
Switzerland	2020	250	34	112	37	433
United Kingdom	2019	2983	143	804	153	4083
United Kingdom	2020	1925	73	663	148	2809
US	2019	20149	2294	7337	2976	32756
US	2020	19109	2085	7256	3063	31513
West	2019	4169	451	1507	615	6742
West	2020	4037	457	1501	650	6645
