country	year	kidney	lung	liver	heart	total_tr
Argentina	2019	534	17	200	55	806
Argentina	2020	271	13	103	41	428
Austria	2019	235	79	107	54	475
Austria	2020	213	79	114	46	452
Belgium	2019	306	94	217	66	683
Belgium	2020	243	76	170	44	533
Brazil	2019	4477	87	1742	309	6615
Brazil	2020	3443	42	1504	232	5221
Chile	2019	51	6	23	11	91
Chile	2020	27	1	11	2	41
Croatia	2019	87	0	97	26	210
Croatia	2020	65	0	72	14	151
Finland	2019	235	25	55	26	341
Finland	2020	194	18	61	16	289
France	2019	2523	317	1103	346	4289
France	2020	1664	213	894	303	3074
Germany	2019	1362	311	649	285	2607
Germany	2020	1182	280	609	282	2353
Greece	2019	47	0	15	7	69
Greece	2020	33	1	12	3	49
Hungary	2019	193	15	69	60	337
Hungary	2020	118	14	41	35	208
Ireland	2019	101	0	0	0	101
Ireland	2020	58	0	0	0	58
Italy	2019	883	205	595	125	1808
Italy	2020	756	166	559	112	1593
Kuwait	2019	40	0	4	1	45
Kuwait	2020	10	0	1	0	11
Malaysia	2019	26	0	2	0	28
Malaysia	2020	22	0	10	0	32
Midwest	2019	3049	568	1536	680	5833
Midwest	2020	3280	526	1584	713	6103
Netherlands	2019	380	89	141	29	639
Netherlands	2020	336	70	130	33	569
Northeast	2019	2531	478	1088	570	4667
Northeast	2020	2312	387	1131	519	4349
Norway	2019	152	27	74	34	287
Norway	2020	153	23	74	21	271
Paraguay	2019	30	0	2	5	37
Paraguay	2020	1	0	0	4	5
Portugal	2019	304	68	227	20	619
Portugal	2020	239	54	140	15	448
Puerto Rico	2019	59	0	36	3	98
Puerto Rico	2020	39	0	23	0	62
Slovenia	2019	34	9	19	19	81
Slovenia	2020	42	15	19	17	93
South	2019	5760	797	2798	1108	10463
South	2020	6139	715	2695	1181	10730
Spain	2019	2464	332	919	245	3960
Spain	2020	1792	243	743	219	2997
Switzerland	2019	169	30	126	29	354
Switzerland	2020	184	34	109	37	364
United Kingdom	2019	2107	143	786	153	3189
United Kingdom	2020	1577	73	644	148	2442
US	2019	14469	2294	6886	2976	26625
US	2020	15001	2085	6864	3063	27013
West	2019	3070	451	1428	615	5564
West	2020	3231	457	1431	650	5769
