organ	country	month_day	avg_2019	avg_2020	ratio
heart	Argentina	03-01	0.344	0.385	0.894
heart	Argentina	03-02	0.341	0.386	0.884
heart	Argentina	03-03	0.339	0.386	0.878
heart	Argentina	03-04	0.336	0.385	0.874
heart	Argentina	03-05	0.334	0.382	0.874
heart	Argentina	03-06	0.331	0.377	0.878
heart	Argentina	03-07	0.328	0.371	0.886
heart	Argentina	03-08	0.326	0.363	0.898
heart	Argentina	03-09	0.323	0.353	0.914
heart	Argentina	03-10	0.321	0.343	0.935
heart	Argentina	03-11	0.319	0.332	0.96
heart	Argentina	03-12	0.316	0.319	0.993
heart	Argentina	03-13	0.313	0.302	1.036
heart	Argentina	03-14	0.31	0.285	1.09
heart	Argentina	03-15	0.308	0.266	1.155
heart	Argentina	03-16	0.307	0.249	1.231
heart	Argentina	03-17	0.307	0.23	1.331
heart	Argentina	03-18	0.307	0.208	1.474
heart	Argentina	03-19	0.309	0.186	1.659
heart	Argentina	03-20	0.311	0.166	1.876
heart	Argentina	03-21	0.314	0.15	2.094
heart	Argentina	03-22	0.32	0.138	2.317
heart	Argentina	03-23	0.329	0.128	2.579
heart	Argentina	03-24	0.339	0.119	2.859
heart	Argentina	03-25	0.349	0.112	3.125
heart	Argentina	03-26	0.355	0.107	3.337
heart	Argentina	03-27	0.361	0.105	3.451
heart	Argentina	03-28	0.368	0.106	3.468
heart	Argentina	03-29	0.375	0.11	3.417
heart	Argentina	03-30	0.38	0.114	3.335
heart	Argentina	03-31	0.382	0.117	3.25
heart	Argentina	04-01	0.379	0.121	3.139
heart	Argentina	04-02	0.374	0.125	2.981
heart	Argentina	04-03	0.367	0.131	2.801
heart	Argentina	04-04	0.359	0.137	2.62
heart	Argentina	04-05	0.353	0.144	2.455
heart	Argentina	04-06	0.344	0.151	2.279
heart	Argentina	04-07	0.331	0.159	2.082
heart	Argentina	04-08	0.317	0.168	1.888
heart	Argentina	04-09	0.305	0.177	1.72
heart	Argentina	04-10	0.297	0.186	1.592
heart	Argentina	04-11	0.291	0.197	1.479
heart	Argentina	04-12	0.286	0.209	1.363
heart	Argentina	04-13	0.281	0.223	1.259
heart	Argentina	04-14	0.278	0.236	1.175
heart	Argentina	04-15	0.277	0.248	1.115
heart	Argentina	04-16	0.28	0.258	1.085
heart	Argentina	04-17	0.286	0.266	1.077
heart	Argentina	04-18	0.297	0.275	1.081
heart	Argentina	04-19	0.31	0.283	1.095
heart	Argentina	04-20	0.323	0.289	1.118
heart	Argentina	04-21	0.336	0.292	1.15
heart	Argentina	04-22	0.352	0.292	1.205
heart	Argentina	04-23	0.372	0.289	1.288
heart	Argentina	04-24	0.393	0.283	1.387
heart	Argentina	04-25	0.413	0.277	1.49
heart	Argentina	04-26	0.429	0.271	1.58
heart	Argentina	04-27	0.443	0.263	1.683
heart	Argentina	04-28	0.459	0.251	1.83
heart	Argentina	04-29	0.474	0.237	2.001
heart	Argentina	04-30	0.486	0.224	2.17
heart	Argentina	05-01	0.493	0.215	2.295
heart	Argentina	05-02	0.494	0.206	2.392
heart	Argentina	05-03	0.491	0.196	2.503
heart	Argentina	05-04	0.486	0.186	2.607
heart	Argentina	05-05	0.478	0.179	2.675
heart	Argentina	05-06	0.47	0.176	2.672
heart	Argentina	05-07	0.456	0.177	2.567
heart	Argentina	05-08	0.435	0.182	2.386
heart	Argentina	05-09	0.411	0.189	2.173
heart	Argentina	05-10	0.388	0.197	1.97
heart	Argentina	05-11	0.372	0.206	1.807
heart	Argentina	05-12	0.357	0.219	1.633
heart	Argentina	05-13	0.339	0.237	1.429
heart	Argentina	05-14	0.321	0.258	1.245
heart	Argentina	05-15	0.307	0.277	1.108
heart	Argentina	05-16	0.3	0.29	1.033
heart	Argentina	05-17	0.302	0.302	0.999
heart	Argentina	05-18	0.308	0.315	0.979
heart	Argentina	05-19	0.319	0.327	0.974
heart	Argentina	05-20	0.331	0.337	0.982
heart	Argentina	05-21	0.344	0.342	1.004
heart	Argentina	05-22	0.361	0.342	1.057
heart	Argentina	05-23	0.387	0.337	1.151
heart	Argentina	05-24	0.417	0.328	1.271
heart	Argentina	05-25	0.447	0.319	1.404
heart	Argentina	05-26	0.473	0.309	1.53
heart	Argentina	05-27	0.489	0.301	1.626
heart	Argentina	05-28	0.5	0.292	1.715
heart	Argentina	05-29	0.511	0.28	1.828
heart	Argentina	05-30	0.519	0.266	1.95
heart	Argentina	05-31	0.524	0.254	2.061
heart	Argentina	06-01	0.522	0.245	2.131
heart	Argentina	06-02	0.511	0.239	2.137
heart	Argentina	06-03	0.49	0.234	2.092
heart	Argentina	06-04	0.465	0.231	2.017
heart	Argentina	06-05	0.44	0.227	1.939
heart	Argentina	06-06	0.42	0.223	1.882
heart	Argentina	06-07	0.399	0.22	1.818
heart	Argentina	06-08	0.372	0.217	1.717
heart	Argentina	06-09	0.343	0.214	1.603
heart	Argentina	06-10	0.318	0.212	1.5
heart	Argentina	06-11	0.3	0.209	1.435
heart	Argentina	06-12	0.291	0.205	1.418
heart	Argentina	06-13	0.286	0.199	1.436
heart	Argentina	06-14	0.283	0.192	1.469
heart	Argentina	06-15	0.281	0.188	1.497
heart	Argentina	06-16	0.279	0.187	1.496
heart	Argentina	06-17	0.281	0.188	1.496
heart	Argentina	06-18	0.289	0.189	1.526
heart	Argentina	06-19	0.299	0.192	1.556
heart	Argentina	06-20	0.307	0.197	1.559
heart	Argentina	06-21	0.309	0.204	1.511
heart	Argentina	06-22	0.305	0.217	1.408
heart	Argentina	06-23	0.3	0.234	1.284
heart	Argentina	06-24	0.294	0.253	1.16
heart	Argentina	06-25	0.286	0.272	1.05
heart	Argentina	06-26	0.276	0.288	0.959
heart	Argentina	06-27	0.261	0.304	0.857
heart	Argentina	06-28	0.239	0.325	0.737
heart	Argentina	06-29	0.215	0.346	0.622
heart	Argentina	06-30	0.193	0.363	0.53
heart	Argentina	07-01	0.176	0.375	0.469
heart	Argentina	07-02	0.162	0.379	0.426
heart	Argentina	07-03	0.146	0.381	0.384
heart	Argentina	07-04	0.131	0.38	0.345
heart	Argentina	07-05	0.118	0.376	0.312
heart	Argentina	07-06	0.108	0.371	0.291
heart	Argentina	07-07	0.104	0.364	0.286
heart	Argentina	07-08	0.106	0.353	0.302
heart	Argentina	07-09	0.113	0.336	0.337
heart	Argentina	07-10	0.123	0.316	0.389
heart	Argentina	07-11	0.135	0.297	0.454
heart	Argentina	07-12	0.147	0.282	0.521
heart	Argentina	07-13	0.162	0.268	0.605
heart	Argentina	07-14	0.183	0.252	0.725
heart	Argentina	07-15	0.206	0.236	0.872
heart	Argentina	07-16	0.228	0.221	1.032
heart	Argentina	07-17	0.248	0.21	1.18
heart	Argentina	07-18	0.267	0.203	1.315
heart	Argentina	07-19	0.289	0.199	1.454
heart	Argentina	07-20	0.311	0.196	1.589
heart	Argentina	07-21	0.331	0.193	1.715
heart	Argentina	07-22	0.349	0.191	1.827
heart	Argentina	07-23	0.365	0.191	1.916
heart	Argentina	07-24	0.381	0.193	1.977
heart	Argentina	07-25	0.396	0.196	2.02
heart	Argentina	07-26	0.409	0.199	2.058
heart	Argentina	07-27	0.421	0.2	2.103
heart	Argentina	07-28	0.43	0.2	2.15
heart	Argentina	07-29	0.437	0.2	2.188
heart	Argentina	07-30	0.444	0.2	2.22
heart	Argentina	07-31	0.448	0.199	2.254
heart	Argentina	08-01	0.451	0.197	2.294
heart	Argentina	08-02	0.452	0.194	2.338
heart	Argentina	08-03	0.452	0.19	2.381
heart	Argentina	08-04	0.45	0.186	2.424
heart	Argentina	08-05	0.447	0.181	2.47
heart	Argentina	08-06	0.442	0.175	2.52
heart	Argentina	08-07	0.435	0.169	2.577
heart	Argentina	08-08	0.427	0.162	2.641
heart	Argentina	08-09	0.417	0.154	2.714
heart	Argentina	08-10	0.406	0.145	2.796
heart	Argentina	08-11	0.393	0.136	2.891
heart	Austria	03-01	0.136	0.137	0.994
heart	Austria	03-02	0.139	0.138	1.009
heart	Austria	03-03	0.142	0.139	1.024
